Date,Value
01/01/1991,136.19166666666666
02/01/1991,136.80452916666667
03/01/1991,136.84538666666668
04/01/1991,136.64109916666666
05/01/1991,136.709195
06/01/1991,136.2597625
07/01/1991,136.9271016666667
08/01/1991,136.709195
09/01/1991,137.02243583333333
10/01/1991,137.43101083333332
11/01/1991,138.11196916666665
12/01/1991,138.76568916666668
01/01/1992,143.45976
02/01/1992,144.48407166666667
03/01/1992,144.259565
04/01/1992,143.90877333333333
05/01/1992,143.93683666666666
06/01/1992,143.838615
07/01/1992,144.34375500000002
08/01/1992,144.97518
09/01/1992,145.522415
10/01/1992,145.97142833333334
11/01/1992,146.32222000000002
12/01/1992,146.22399833333333
01/01/1993,150.5978125
02/01/1993,150.3377875
03/01/1993,150.78560833333333
04/01/1993,151.71014166666666
05/01/1993,152.02795
06/01/1993,152.56244583333333
07/01/1993,152.64912083333334
08/01/1993,153.1980625
09/01/1993,153.77589583333335
10/01/1993,154.06481250000002
11/01/1993,154.541525
12/01/1993,155.3216
01/01/1994,159.74208249999998
02/01/1994,160.09782249999998
03/01/1994,160.61660999999998
04/01/1994,161.09093
05/01/1994,161.62454
06/01/1994,161.89134499999997
07/01/1994,162.08403749999997
08/01/1994,162.46942249999998
09/01/1994,162.5880025
10/01/1994,162.98820999999998
11/01/1994,163.314305
12/01/1994,163.32912749999997
01/01/1995,168.36834499999998
02/01/1995,169.31312166666663
03/01/1995,169.03883166666665
04/01/1995,169.17597666666663
05/01/1995,169.67884166666664
06/01/1995,170.25789833333332
07/01/1995,171.05029166666665
08/01/1995,171.49220333333332
09/01/1995,171.8579233333333
10/01/1995,171.93411499999996
11/01/1995,172.28459666666666
12/01/1995,173.01603666666665
01/01/1996,178.74625999999998
02/01/1996,179.012905
03/01/1996,179.65599
04/01/1996,178.93448
05/01/1996,180.455925
06/01/1996,180.62846
07/01/1996,181.240175
08/01/1996,181.25586
09/01/1996,181.72641
10/01/1996,181.88325999999998
11/01/1996,182.369495
12/01/1996,182.965525
01/01/1997,187.46741500000005
02/01/1997,187.94896500000002
03/01/1997,188.67129000000003
04/01/1997,189.0244266666667
05/01/1997,189.44177000000002
06/01/1997,189.81095833333336
07/01/1997,190.29250833333336
08/01/1997,190.99878166666667
09/01/1997,191.25560833333336
10/01/1997,192.2508116666667
11/01/1997,192.86077500000002
12/01/1997,193.50284166666668
01/01/1998,197.24008333333333
02/01/1998,198.65825583333333
03/01/1998,199.31028916666665
04/01/1998,200.20683499999998
05/01/1998,200.5491525
06/01/1998,202.27704083333333
07/01/1998,202.7986675
08/01/1998,203.66261166666666
09/01/1998,204.9503775
10/01/1998,205.81432166666667
11/01/1998,207.16729083333334
12/01/1998,208.11273916666667
01/01/1999,213.848985
02/01/1999,214.74848999999998
03/01/1999,215.69796750000003
04/01/1999,216.73073250000004
05/01/1999,218.01336
06/01/1999,219.0294675
07/01/1999,220.245465
08/01/1999,221.57806500000004
09/01/1999,221.61138
10/01/1999,223.5269925
11/01/1999,224.47647
12/01/1999,225.59252250000003
01/01/2000,235.91400000000002
02/01/2000,235.63848000000004
03/01/2000,237.42936000000003
04/01/2000,239.04804000000001
05/01/2000,240.02958
06/01/2000,241.69992000000005
07/01/2000,242.95698000000004
08/01/2000,243.90408
09/01/2000,245.36778000000004
10/01/2000,246.72816000000003
11/01/2000,248.24352000000002
12/01/2000,249.72444000000004
01/01/2001,258.4110933333333
02/01/2001,260.1994666666667
03/01/2001,261.58058666666665
04/01/2001,262.1649066666667
05/01/2001,264.25429333333335
06/01/2001,265.54688000000004
07/01/2001,265.7416533333334
08/01/2001,268.30912
09/01/2001,269.69024
10/01/2001,271.3546666666667
11/01/2001,272.20458666666667
12/01/2001,273.93984000000006
01/01/2002,279.81355
02/01/2002,281.48638750000003
03/01/2002,283.2851375
04/01/2002,284.7781
05/01/2002,286.7027625
06/01/2002,288.5015125
07/01/2002,290.3362375
08/01/2002,292.18895000000003
09/01/2002,293.9877
10/01/2002,296.0202875
11/01/2002,297.765075
12/01/2002,299.90558749999997
01/01/2003,308.60849999999994
02/01/2003,309.19716666666665
03/01/2003,311.53343749999993
04/01/2003,313.4833958333333
05/01/2003,315.1758125
06/01/2003,316.64747916666664
07/01/2003,318.32149999999996
08/01/2003,321.3200208333333
09/01/2003,323.9322291666666
10/01/2003,325.80860416666667
11/01/2003,328.42081249999995
12/01/2003,331.10660416666667
01/01/2004,342.14327
02/01/2004,344.76874833333335
03/01/2004,347.2808966666667
04/01/2004,350.1708116666666
05/01/2004,353.45738166666666
06/01/2004,357.10283
07/01/2004,359.9738566666667
08/01/2004,362.599335
09/01/2004,365.432585
10/01/2004,368.1713933333333
11/01/2004,370.34355166666666
12/01/2004,374.80119833333333
01/01/2005,390.27086666666656
02/01/2005,392.5948374999999
03/01/2005,397.0865458333333
04/01/2005,400.6213249999999
05/01/2005,403.9217541666666
06/01/2005,407.3588874999999
07/01/2005,411.4600124999999
08/01/2005,414.0573916666666
09/01/2005,418.25616249999985
10/01/2005,420.58013333333326
11/01/2005,423.33374583333324
12/01/2005,425.81394999999986
01/01/2006,441.56638666666663
02/01/2006,443.15896083333337
03/01/2006,443.6427808333333
04/01/2006,445.7594933333333
05/01/2006,446.82792916666665
06/01/2006,446.82792916666665
07/01/2006,446.5457008333333
08/01/2006,447.55365916666665
09/01/2006,447.63429583333334
10/01/2006,448.1181158333333
11/01/2006,449.4889391666666
12/01/2006,449.6300533333333
01/01/2007,464.11526546666664
02/01/2007,464.13599970833326
03/01/2007,466.0020814583333
04/01/2007,464.61288726666663
