Date,Value
01/01/1990,132.42117556666665
02/01/1990,132.44939776666666
03/01/1990,132.441688925
04/01/1990,132.38276201666665
05/01/1990,132.26190305833333
06/01/1990,132.07048859999998
07/01/1990,131.80525218333332
08/01/1990,131.46671644166665
09/01/1990,131.06533404166666
10/01/1990,130.6306468325
11/01/1990,130.20015375583333
12/01/1990,129.81041301333332
01/01/1991,134.97200219583334
02/01/1991,134.72484155916666
03/01/1991,134.57068621166667
04/01/1991,134.48898483083335
05/01/1991,134.45116440500001
06/01/1991,134.43182518833333
07/01/1991,134.41683048583334
08/01/1991,134.4025848375
09/01/1991,134.39493086583332
10/01/1991,134.4078145975
11/01/1991,134.4572521725
12/01/1991,134.5535124425
01/01/1992,138.77027877833333
02/01/1992,138.94059514833333
03/01/1992,139.125616705
04/01/1992,139.314033925
05/01/1992,139.49728749166667
06/01/1992,139.66883864833332
07/01/1992,139.82348164666666
08/01/1992,139.955056585
09/01/1992,140.0547936716667
10/01/1992,140.11117290833334
11/01/1992,140.113754735
12/01/1992,140.05969072333335
01/01/1993,144.09507840833334
02/01/1993,143.97552469166666
03/01/1993,143.8557542875
04/01/1993,143.74777168333335
05/01/1993,143.6599988
06/01/1993,143.60113202916668
07/01/1993,143.5822946625
08/01/1993,143.61401771250002
09/01/1993,143.6999126375
10/01/1993,143.82663148749998
11/01/1993,143.97535134166668
12/01/1993,144.13029735
01/01/1994,148.04712999999998
02/01/1994,148.20316645749998
03/01/1994,148.35262172499998
04/01/1994,148.483949075
05/01/1994,148.58459384999998
06/01/1994,148.64803414999997
07/01/1994,148.68242235
08/01/1994,148.69961644999998
09/01/1994,148.70495255
10/01/1994,148.68864779999998
11/01/1994,148.63484212499998
12/01/1994,148.5315293
01/01/1995,152.54653588333332
02/01/1995,152.3628072983333
03/01/1995,152.16516611499998
04/01/1995,151.97259929666663
05/01/1995,151.80122899999998
06/01/1995,151.65998488833333
07/01/1995,151.54466118166664
08/01/1995,151.44660250666664
09/01/1995,151.359393525
10/01/1995,151.28371996166666
11/01/1995,151.22650002
12/01/1995,151.19856815499998
01/01/1996,155.64344706
02/01/1996,155.706108635
03/01/1996,155.81595069
04/01/1996,155.949069285
05/01/1996,156.074737505
06/01/1996,156.16826716
07/01/1996,156.22388617
08/01/1996,156.24584517
09/01/1996,156.24197097500002
10/01/1996,156.21940026000001
11/01/1996,156.18668135000001
12/01/1996,156.1570367
01/01/1997,159.80239960333336
02/01/1997,159.84418209166668
03/01/1997,159.94306035833335
04/01/1997,160.08320746000004
05/01/1997,160.23738371833335
06/01/1997,160.37825314500003
07/01/1997,160.48836757833337
08/01/1997,160.55824048333335
09/01/1997,160.58633090000004
10/01/1997,160.58199695000002
11/01/1997,160.55824048333335
12/01/1997,160.5272607666667
01/01/1998,162.98887013833334
02/01/1998,162.96629348416667
03/01/1998,162.95855058833334
04/01/1998,162.97501443000002
05/01/1998,163.02561221666667
06/01/1998,163.11754891666666
07/01/1998,163.24925965
08/01/1998,163.41324603333334
09/01/1998,163.59548935
10/01/1998,163.773005425
11/01/1998,163.92215804999998
12/01/1998,164.0268094
01/01/1999,167.68005855
02/01/1999,167.715205875
03/01/1999,167.74069185
04/01/1999,167.779170675
05/01/1999,167.8516308
06/01/1999,167.971731375
07/01/1999,168.136640625
08/01/1999,168.33419857500002
09/01/1999,168.544416225
10/01/1999,168.740308425
11/01/1999,168.898554675
12/01/1999,169.0123254
01/01/2000,174.81657900000002
02/01/2000,174.92385960000001
03/01/2000,175.05524820000002
04/01/2000,175.18129860000002
05/01/2000,175.2560334
06/01/2000,175.2434628
07/01/2000,175.14823620000004
08/01/2000,174.991362
09/01/2000,174.79195440000004
10/01/2000,174.55466280000002
11/01/2000,174.27759300000002
12/01/2000,173.96332800000002
01/01/2001,178.5402154666667
02/01/2001,178.20874666666668
03/01/2001,177.89799466666668
04/01/2001,177.59379413333335
05/01/2001,177.27401173333334
06/01/2001,176.92651840000002
07/01/2001,176.56921557333334
08/01/2001,176.23393984
09/01/2001,175.95217365333335
10/01/2001,175.73939264000003
11/01/2001,175.60027136000002
12/01/2001,175.52893120000002
01/01/2002,178.287531175
02/01/2002,178.28235077500003
03/01/2002,178.272133875
04/01/2002,178.23918077500002
05/01/2002,178.1713679
06/01/2002,178.06178805000002
07/01/2002,177.91101682500002
08/01/2002,177.7249001625
09/01/2002,177.5151299375
10/01/2002,177.3025176875
11/01/2002,177.11167031250002
12/01/2002,176.965809675
01/01/2003,180.89572141666665
02/01/2003,180.88275235416663
03/01/2003,180.95407299999997
04/01/2003,181.11176208333333
05/01/2003,181.35226920833333
06/01/2003,181.6622022083333
07/01/2003,182.00785991666663
08/01/2003,182.3487898958333
09/01/2003,182.648660375
10/01/2003,182.8863529375
11/01/2003,183.05220977083331
12/01/2003,183.14858554166665
01/01/2004,188.099864155
02/01/2004,188.12338013000002
03/01/2004,188.14729276
04/01/2004,188.18839377333333
05/01/2004,188.25741174333334
06/01/2004,188.35988095166667
07/01/2004,188.4948569816667
08/01/2004,188.65839217166666
09/01/2004,188.84459336166665
10/01/2004,189.04482858333333
11/01/2004,189.24825593333335
12/01/2004,189.44186135
01/01/2005,196.04314899999994
02/01/2005,196.17672849999994
03/01/2005,196.26421916666663
04/01/2005,196.3177290833333
05/01/2005,196.35717799999995
06/01/2005,196.4003374583333
07/01/2005,196.4569720416666
08/01/2005,196.53274520833327
09/01/2005,196.63371099999995
10/01/2005,196.76885283333328
11/01/2005,196.94363887499995
12/01/2005,197.1496715833333
01/01/2006,203.71946670833333
