Date,Value
07/02/1990,130.65833333333333
07/02/1991,136.19166666666666
07/02/1992,140.31666666666666
07/02/1993,144.45833333333334
07/02/1994,148.225
07/02/1995,152.38333333333333
07/02/1996,156.85
07/02/1997,160.51666666666668
07/02/1998,163.00833333333333
07/02/1999,166.57500000000002
07/02/2000,172.20000000000002
07/02/2001,177.0666666666667
07/02/2002,179.875
07/02/2003,183.95833333333334
07/02/2004,188.88333333333333
07/02/2005,195.29166666666666
07/02/2006,201.59166666666667
07/02/2007,207.34241666666665
07/02/2008,215.3025
07/02/2009,214.537
07/02/2010,218.05550000000002
07/02/2011,224.93916666666667
07/02/2012,229.59391666666667
07/02/2013,232.95708333333334
07/02/2014,236.73616666666666
07/02/2015,237.01700000000002
07/02/2016,240.00716666666665
07/02/2017,245.13066666666668
